;;;VLAANDEREN;aBS;;;;;;;aZS;;;;;;DS;;;
Rubus armeniacus;oever;Rubus armeniacus;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
Rudbeckia laciniata;oever;Rudbeckia laciniata;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic
Salvinia molesta;water;Solidago canadensis;Present;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Sporadic;Present
Solidago canadensis;oever;Solidago canadensis;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
Solidago gigantea;oever;Solidago gigantea;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
Spiraea alba;oever;Spiraea alba;Sporadic;Present;Absent;Absent;Absent;Present;Absent;Absent;Absent;Present;Sporadic;Present;Present;Sporadic;Absent;Sporadic;Sporadic;Present
Spiraea billardii;oever;Spiraea billardii;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent
Spiraea douglasii;oever;Spiraea douglasii;Present;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Absent;Absent;Sporadic;Sporadic;Absent;Sporadic
Spiraea salicifolia;oever;Spiraea salicifolia;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic
Spiraea tomentosa;oever;Spiraea tomentosa;Present;Absent;Absent;Absent;Absent;Absent;Present;Absent;Present;Absent;Absent;Absent;Absent;Absent;Sporadic;Sporadic;Present;Absent
