District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Helianthus laetiflorus;3119181;44;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Heracleum mantegazzianum;3034825;2812;54;0,019203413940256;1,9;0,406015037593985;40,6
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Hydrocotyle ranunculoides;7978544;537;12;0,0223463687150838;2,2;0,0902255639097744;9,02
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Impatiens capensis;2891774;56;19;0,339285714285714;33,9;0,142857142857143;14,29
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Impatiens glandulifera;2891770;3707;64;0,017264634475317;1,7;0,481203007518797;48,12
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Koenigia polystachya;8848208;42;1;0,0238095238095238;2,4;0,0075187969924812;0,75
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Laburnum anagyroides;5356345;198;3;0,0151515151515152;1,5;0,0225563909774436;2,26
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Lagarosiphon major;2865565;34;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Lemna minuta;2867614;883;11;0,0124575311438279;1,2;0,0827067669172932;8,27
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Lemna turionifera;2867631;103;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Ludwigia grandiflora;5421039;476;26;0,0546218487394958;5,5;0,195488721804511;19,55
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Ludwigia peploides;5420991;18;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Mahonia aquifolium;3033865;1917;46;0,0239958268127282;2,4;0,345864661654135;34,59
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Myriophyllum aquaticum;5361785;479;6;0,0125260960334029;1,3;0,0451127819548872;4,51
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Myriophyllum heterophyllum;5361762;67;1;0,0149253731343284;1,5;0,0075187969924812;0,75
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Myriophyllum rubricaule;11742641;16;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Parthenocissus inserta;3039203;423;14;0,033096926713948;3,3;0,105263157894737;10,53
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Parthenocissus quinquefolia;3039194;156;3;0,0192307692307692;1,9;0,0225563909774436;2,26
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Parthenocissus tricuspidata;3039209;304;10;0,0328947368421053;3,3;0,075187969924812;7,52
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Pistia stratiotes;2870583;43;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Prunus laurocerasus;3021496;2255;35;0,0155210643015521;1,6;0,263157894736842;26,32
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Prunus serotina;3021850;6032;96;0,0159151193633952;1,6;0,721804511278195;72,18
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Reynoutria japonica;2889173;5136;99;0,0192757009345794;1,9;0,744360902255639;74,44
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Reynoutria sachalinensis;2889088;129;2;0,0155038759689922;1,6;0,0150375939849624;1,5
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Reynoutria bohemica;4038485;140;2;0,0142857142857143;1,4;0,0150375939849624;1,5
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Rhus typhina;3190538;742;21;0,0283018867924528;2,8;0,157894736842105;15,79
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Robinia pseudoacacia;5352251;4017;66;0,0164301717699776;1,6;0,496240601503759;49,62
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Rosa rugosa;3003979;1761;42;0,0238500851788756;2,4;0,315789473684211;31,58
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Rubus armeniacus;2996525;227;4;0,0176211453744493;1,8;0,0300751879699248;3,01
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Rudbeckia laciniata;3114229;72;2;0,0277777777777778;2,8;0,0150375939849624;1,5
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Solidago canadensis;5389029;948;25;0,0263713080168776;2,6;0,18796992481203;18,8
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Solidago gigantea;5389017;3240;64;0,0197530864197531;2;0,481203007518797;48,12
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Spiraea alba;3026585;21;1;0,0476190476190476;4,8;0,0075187969924812;0,75
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Spiraea douglasii;3027159;265;6;0,0226415094339623;2,3;0,0451127819548872;4,51
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Spiraea salicifolia;3026454;9;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Spiraea tomentosa;3026819;21;0;0;0;0;0
aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal);Spiraea billardii;7889822;23;0;0;0;0;0
