District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 3 (Netes);Impatiens capensis;2891774;56;21;0,375;37,5;0,0972222222222222;9,72
aZS - District 3 (Netes);Impatiens glandulifera;2891770;3707;126;0,0339897491232803;3,4;0,583333333333333;58,33
aZS - District 3 (Netes);Koenigia polystachya;8848208;42;1;0,0238095238095238;2,4;0,00462962962962963;0,46
aZS - District 3 (Netes);Laburnum anagyroides;5356345;198;1;0,00505050505050505;0,5;0,00462962962962963;0,46
aZS - District 3 (Netes);Lagarosiphon major;2865565;34;0;0;0;0;0
aZS - District 3 (Netes);Lemna minuta;2867614;883;17;0,0192525481313703;1,9;0,0787037037037037;7,87
aZS - District 3 (Netes);Lemna turionifera;2867631;103;0;0;0;0;0
aZS - District 3 (Netes);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aZS - District 3 (Netes);Ludwigia grandiflora;5421039;476;52;0,109243697478992;10,9;0,240740740740741;24,07
aZS - District 3 (Netes);Ludwigia peploides;5420991;18;2;0,111111111111111;11,1;0,00925925925925926;0,93
aZS - District 3 (Netes);Mahonia aquifolium;3033865;1917;44;0,0229525299947835;2,3;0,203703703703704;20,37
aZS - District 3 (Netes);Myriophyllum aquaticum;5361785;479;31;0,0647181628392484;6,5;0,143518518518519;14,35
aZS - District 3 (Netes);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aZS - District 3 (Netes);Myriophyllum rubricaule;11742641;16;0;0;0;0;0
aZS - District 3 (Netes);Parthenocissus inserta;3039203;423;5;0,0118203309692671;1,2;0,0231481481481481;2,31
aZS - District 3 (Netes);Parthenocissus quinquefolia;3039194;156;4;0,0256410256410256;2,6;0,0185185185185185;1,85
aZS - District 3 (Netes);Parthenocissus tricuspidata;3039209;304;5;0,0164473684210526;1,6;0,0231481481481481;2,31
aZS - District 3 (Netes);Pistia stratiotes;2870583;43;0;0;0;0;0
aZS - District 3 (Netes);Prunus laurocerasus;3021496;2255;52;0,023059866962306;2,3;0,240740740740741;24,07
aZS - District 3 (Netes);Prunus serotina;3021850;6032;154;0,0255305039787798;2,6;0,712962962962963;71,3
aZS - District 3 (Netes);Reynoutria japonica;2889173;5136;141;0,0274532710280374;2,7;0,652777777777778;65,28
aZS - District 3 (Netes);Reynoutria sachalinensis;2889088;129;4;0,0310077519379845;3,1;0,0185185185185185;1,85
aZS - District 3 (Netes);Reynoutria bohemica;4038485;140;1;0,00714285714285714;0,7;0,00462962962962963;0,46
aZS - District 3 (Netes);Rhus typhina;3190538;742;15;0,0202156334231806;2;0,0694444444444444;6,94
aZS - District 3 (Netes);Robinia pseudoacacia;5352251;4017;94;0,0234005476723923;2,3;0,435185185185185;43,52
aZS - District 3 (Netes);Rosa rugosa;3003979;1761;47;0,0266893810335037;2,7;0,217592592592593;21,76
aZS - District 3 (Netes);Rubus armeniacus;2996525;227;3;0,013215859030837;1,3;0,0138888888888889;1,39
aZS - District 3 (Netes);Rudbeckia laciniata;3114229;72;27;0,375;37,5;0,125;12,5
aZS - District 3 (Netes);Solidago canadensis;5389029;948;27;0,0284810126582278;2,8;0,125;12,5
aZS - District 3 (Netes);Solidago gigantea;5389017;3240;88;0,0271604938271605;2,7;0,407407407407407;40,74
aZS - District 3 (Netes);Spiraea alba;3026585;21;1;0,0476190476190476;4,8;0,00462962962962963;0,46
aZS - District 3 (Netes);Spiraea douglasii;3027159;265;6;0,0226415094339623;2,3;0,0277777777777778;2,78
aZS - District 3 (Netes);Spiraea salicifolia;3026454;9;0;0;0;0;0
aZS - District 3 (Netes);Spiraea tomentosa;3026819;21;0;0;0;0;0
aZS - District 3 (Netes);Spiraea billardii;7889822;23;0;0;0;0;0
