District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Mahonia aquifolium;3033865;1917;67;0,0349504434011476;3,5;0,276859504132231;27,69
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Myriophyllum aquaticum;5361785;479;14;0,0292275574112735;2,9;0,0578512396694215;5,79
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Myriophyllum rubricaule;11742641;16;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Parthenocissus inserta;3039203;423;18;0,0425531914893617;4,3;0,0743801652892562;7,44
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Parthenocissus quinquefolia;3039194;156;4;0,0256410256410256;2,6;0,0165289256198347;1,65
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Parthenocissus tricuspidata;3039209;304;10;0,0328947368421053;3,3;0,0413223140495868;4,13
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Pistia stratiotes;2870583;43;5;0,116279069767442;11,6;0,0206611570247934;2,07
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Prunus laurocerasus;3021496;2255;68;0,0301552106430155;3;0,28099173553719;28,1
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Prunus serotina;3021850;6032;135;0,0223806366047745;2,2;0,557851239669422;55,79
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Reynoutria japonica;2889173;5136;174;0,0338785046728972;3,4;0,71900826446281;71,9
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Reynoutria sachalinensis;2889088;129;4;0,0310077519379845;3,1;0,0165289256198347;1,65
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Reynoutria bohemica;4038485;140;19;0,135714285714286;13,6;0,0785123966942149;7,85
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Rhus typhina;3190538;742;30;0,0404312668463612;4;0,12396694214876;12,4
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Robinia pseudoacacia;5352251;4017;98;0,0243963156584516;2,4;0,40495867768595;40,5
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Rosa rugosa;3003979;1761;56;0,0318001135718342;3,2;0,231404958677686;23,14
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Rubus armeniacus;2996525;227;27;0,118942731277533;11,9;0,111570247933884;11,16
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Rudbeckia laciniata;3114229;72;1;0,0138888888888889;1,4;0,00413223140495868;0,41
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Solidago canadensis;5389029;948;22;0,0232067510548523;2,3;0,0909090909090909;9,09
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Solidago gigantea;5389017;3240;108;0,0333333333333333;3,3;0,446280991735537;44,63
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Spiraea alba;3026585;21;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Spiraea douglasii;3027159;265;5;0,0188679245283019;1,9;0,0206611570247934;2,07
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Spiraea salicifolia;3026454;9;1;0,111111111111111;11,1;0,00413223140495868;0,41
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Spiraea tomentosa;3026819;21;0;0;0;0;0
aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme);Spiraea billardii;7889822;23;3;0,130434782608696;13;0,012396694214876;1,24
