District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 6 (Kanalen-West);Heracleum mantegazzianum;3034825;2812;36;0,0128022759601707;1,3;0,241610738255034;24,16
aBS - District 6 (Kanalen-West);Hydrocotyle ranunculoides;7978544;537;13;0,0242085661080074;2,4;0,087248322147651;8,72
aBS - District 6 (Kanalen-West);Impatiens capensis;2891774;56;1;0,0178571428571429;1,8;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Impatiens glandulifera;2891770;3707;28;0,00755327758295117;0,8;0,187919463087248;18,79
aBS - District 6 (Kanalen-West);Koenigia polystachya;8848208;42;0;0;0;0;0
aBS - District 6 (Kanalen-West);Laburnum anagyroides;5356345;198;5;0,0252525252525253;2,5;0,0335570469798658;3,36
aBS - District 6 (Kanalen-West);Lagarosiphon major;2865565;34;0;0;0;0;0
aBS - District 6 (Kanalen-West);Lemna minuta;2867614;883;13;0,014722536806342;1,5;0,087248322147651;8,72
aBS - District 6 (Kanalen-West);Lemna turionifera;2867631;103;4;0,0388349514563107;3,9;0,0268456375838926;2,68
aBS - District 6 (Kanalen-West);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aBS - District 6 (Kanalen-West);Ludwigia grandiflora;5421039;476;4;0,00840336134453781;0,8;0,0268456375838926;2,68
aBS - District 6 (Kanalen-West);Ludwigia peploides;5420991;18;0;0;0;0;0
aBS - District 6 (Kanalen-West);Mahonia aquifolium;3033865;1917;17;0,00886802295253;0,9;0,114093959731544;11,41
aBS - District 6 (Kanalen-West);Myriophyllum aquaticum;5361785;479;2;0,00417536534446764;0,4;0,0134228187919463;1,34
aBS - District 6 (Kanalen-West);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aBS - District 6 (Kanalen-West);Myriophyllum rubricaule;11742641;16;0;0;0;0;0
aBS - District 6 (Kanalen-West);Parthenocissus inserta;3039203;423;7;0,016548463356974;1,7;0,0469798657718121;4,7
aBS - District 6 (Kanalen-West);Parthenocissus quinquefolia;3039194;156;0;0;0;0;0
aBS - District 6 (Kanalen-West);Parthenocissus tricuspidata;3039209;304;8;0,0263157894736842;2,6;0,0536912751677852;5,37
aBS - District 6 (Kanalen-West);Pistia stratiotes;2870583;43;0;0;0;0;0
aBS - District 6 (Kanalen-West);Prunus laurocerasus;3021496;2255;25;0,0110864745011086;1,1;0,167785234899329;16,78
aBS - District 6 (Kanalen-West);Prunus serotina;3021850;6032;34;0,00563660477453581;0,6;0,228187919463087;22,82
aBS - District 6 (Kanalen-West);Reynoutria japonica;2889173;5136;66;0,0128504672897196;1,3;0,442953020134228;44,3
aBS - District 6 (Kanalen-West);Reynoutria sachalinensis;2889088;129;4;0,0310077519379845;3,1;0,0268456375838926;2,68
aBS - District 6 (Kanalen-West);Reynoutria bohemica;4038485;140;3;0,0214285714285714;2,1;0,0201342281879195;2,01
aBS - District 6 (Kanalen-West);Rhus typhina;3190538;742;8;0,0107816711590297;1,1;0,0536912751677852;5,37
aBS - District 6 (Kanalen-West);Robinia pseudoacacia;5352251;4017;34;0,00846402788150361;0,8;0,228187919463087;22,82
aBS - District 6 (Kanalen-West);Rosa rugosa;3003979;1761;27;0,0153321976149915;1,5;0,181208053691275;18,12
aBS - District 6 (Kanalen-West);Rubus armeniacus;2996525;227;4;0,0176211453744493;1,8;0,0268456375838926;2,68
aBS - District 6 (Kanalen-West);Rudbeckia laciniata;3114229;72;1;0,0138888888888889;1,4;0,00671140939597315;0,67
aBS - District 6 (Kanalen-West);Solidago canadensis;5389029;948;6;0,00632911392405063;0,6;0,0402684563758389;4,03
aBS - District 6 (Kanalen-West);Solidago gigantea;5389017;3240;43;0,0132716049382716;1,3;0,288590604026846;28,86
aBS - District 6 (Kanalen-West);Spiraea alba;3026585;21;0;0;0;0;0
aBS - District 6 (Kanalen-West);Spiraea douglasii;3027159;265;0;0;0;0;0
aBS - District 6 (Kanalen-West);Spiraea salicifolia;3026454;9;0;0;0;0;0
aBS - District 6 (Kanalen-West);Spiraea tomentosa;3026819;21;0;0;0;0;0
aBS - District 6 (Kanalen-West);Spiraea billardii;7889822;23;0;0;0;0;0
