District;species;speciesKey;aantal km² in VL;aantal km² in district;aandeel km² in district;% in district;aandeel km² hokken van district;% van district
aBS - District 7 (IJzer);Hydrocotyle ranunculoides;7978544;537;2;0,0037243947858473;0,4;0,00636942675159236;0,64
aBS - District 7 (IJzer);Impatiens capensis;2891774;56;0;0;0;0;0
aBS - District 7 (IJzer);Impatiens glandulifera;2891770;3707;12;0,00323711896412193;0,3;0,0382165605095541;3,82
aBS - District 7 (IJzer);Koenigia polystachya;8848208;42;0;0;0;0;0
aBS - District 7 (IJzer);Laburnum anagyroides;5356345;198;6;0,0303030303030303;3;0,0191082802547771;1,91
aBS - District 7 (IJzer);Lagarosiphon major;2865565;34;1;0,0294117647058824;2,9;0,00318471337579618;0,32
aBS - District 7 (IJzer);Lemna minuta;2867614;883;26;0,029445073612684;2,9;0,0828025477707006;8,28
aBS - District 7 (IJzer);Lemna turionifera;2867631;103;23;0,223300970873786;22,3;0,0732484076433121;7,32
aBS - District 7 (IJzer);Hydrocharis laevigata;11055820;2;0;0;0;0;0
aBS - District 7 (IJzer);Ludwigia grandiflora;5421039;476;23;0,0483193277310924;4,8;0,0732484076433121;7,32
aBS - District 7 (IJzer);Ludwigia peploides;5420991;18;0;0;0;0;0
aBS - District 7 (IJzer);Mahonia aquifolium;3033865;1917;19;0,0099113197704747;1;0,0605095541401274;6,05
aBS - District 7 (IJzer);Myriophyllum aquaticum;5361785;479;4;0,00835073068893528;0,8;0,0127388535031847;1,27
aBS - District 7 (IJzer);Myriophyllum heterophyllum;5361762;67;0;0;0;0;0
aBS - District 7 (IJzer);Myriophyllum rubricaule;11742641;16;0;0;0;0;0
aBS - District 7 (IJzer);Parthenocissus inserta;3039203;423;3;0,00709219858156028;0,7;0,00955414012738853;0,96
aBS - District 7 (IJzer);Parthenocissus quinquefolia;3039194;156;1;0,00641025641025641;0,6;0,00318471337579618;0,32
aBS - District 7 (IJzer);Parthenocissus tricuspidata;3039209;304;4;0,0131578947368421;1,3;0,0127388535031847;1,27
aBS - District 7 (IJzer);Pistia stratiotes;2870583;43;0;0;0;0;0
aBS - District 7 (IJzer);Prunus laurocerasus;3021496;2255;13;0,0057649667405765;0,6;0,0414012738853503;4,14
aBS - District 7 (IJzer);Prunus serotina;3021850;6032;14;0,0023209549071618;0,2;0,0445859872611465;4,46
aBS - District 7 (IJzer);Reynoutria japonica;2889173;5136;57;0,0110981308411215;1,1;0,181528662420382;18,15
aBS - District 7 (IJzer);Reynoutria sachalinensis;2889088;129;0;0;0;0;0
aBS - District 7 (IJzer);Reynoutria bohemica;4038485;140;3;0,0214285714285714;2,1;0,00955414012738853;0,96
aBS - District 7 (IJzer);Rhus typhina;3190538;742;8;0,0107816711590297;1,1;0,0254777070063694;2,55
aBS - District 7 (IJzer);Robinia pseudoacacia;5352251;4017;26;0,00647249190938511;0,6;0,0828025477707006;8,28
aBS - District 7 (IJzer);Rosa rugosa;3003979;1761;37;0,0210107893242476;2,1;0,117834394904459;11,78
aBS - District 7 (IJzer);Rubus armeniacus;2996525;227;1;0,00440528634361234;0,4;0,00318471337579618;0,32
aBS - District 7 (IJzer);Rudbeckia laciniata;3114229;72;0;0;0;0;0
aBS - District 7 (IJzer);Solidago canadensis;5389029;948;2;0,00210970464135021;0,2;0,00636942675159236;0,64
aBS - District 7 (IJzer);Solidago gigantea;5389017;3240;39;0,012037037037037;1,2;0,124203821656051;12,42
aBS - District 7 (IJzer);Spiraea alba;3026585;21;0;0;0;0;0
aBS - District 7 (IJzer);Spiraea douglasii;3027159;265;0;0;0;0;0
aBS - District 7 (IJzer);Spiraea salicifolia;3026454;9;0;0;0;0;0
aBS - District 7 (IJzer);Spiraea tomentosa;3026819;21;0;0;0;0;0
aBS - District 7 (IJzer);Spiraea billardii;7889822;23;0;0;0;0;0
