"","...1","aBS - District 1 (Gent)","aBS - District 2 (Boven-Schelde)","aBS - District 3 (Leie)","aBS - District 4 (Dender, Moervaart)","aBS - District 5 (Kanalen-Oost)","aBS - District 6 (Kanalen-West)","aBS - District 7 (IJzer)","aZS - District 1 (Boven-Zeeschelde (west), Beneden-Durme)","aZS - District 2 (Boven-Zeeschelde (oost), Beneden-Zeeschelde, Rupel)","aZS - District 3 (Netes)","aZS - District 4 (Dijle, Demer, Beneden-Zenne)","aZS - District 5 (Zeekanaal Brussel-Schelde, Kanaal naar Charleroi, Boven-Zenne)","aZS - District 6 (Kanaal Leuven-Dijle, Netekanaal)","DS_District 1","DS_District 2","DS_District 3","DS_District 4"
"43","Ludwigia peploides","Present","Present","Sporadic",NA,"Sporadic",NA,NA,"Present","Present","Present",NA,NA,NA,NA,NA,NA,NA
"44","Pistia stratiotes",NA,"Sporadic",NA,"Absent",NA,NA,NA,"Sporadic","Present",NA,NA,NA,NA,"Present","Present","Sporadic","Sporadic"
"45","Rudbeckia laciniata",NA,"Sporadic",NA,NA,"Sporadic","Sporadic",NA,"Present","Sporadic","Present",NA,NA,"Sporadic","Present","Sporadic",NA,NA
"46","Baccharis halimifolia",NA,NA,"Present","Sporadic","Present","Sporadic","Sporadic",NA,NA,NA,NA,"Sporadic",NA,NA,"Sporadic",NA,NA
"47","Aponogeton distachyos",NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA
"48","Asclepias syriaca",NA,NA,NA,NA,NA,"Present",NA,NA,NA,"Sporadic","Sporadic",NA,"Present",NA,"Sporadic",NA,"Sporadic"
"49","Spiraea salicifolia",NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA,"Present","Present",NA
"50","Cabomba caroliniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","Present","Sporadic",NA
"51","Arundo donax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sporadic",NA
"52","Spiraea tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA
