year,eea_cell_code,speciesKey,n,min_coord_uncertainty
2000,1kmE3875N3121,3034825,1,700
2000,1kmE3875N3131,7978544,1,700
2000,1kmE3875N3132,7978544,1,700
2000,1kmE3875N3134,7978544,1,700
2000,1kmE3876N3109,5356345,1,700
2000,1kmE3876N3127,7978544,1,700
2000,1kmE3876N3128,7978544,1,700
2000,1kmE3876N3129,7978544,1,700
2000,1kmE3876N3131,7978544,1,700
2000,1kmE3876N3132,7978544,1,700
2000,1kmE3877N3109,3033865,1,700
2000,1kmE3877N3116,5389017,1,700
2000,1kmE3877N3117,5352251,1,700
2000,1kmE3877N3118,3021850,1,700
2000,1kmE3878N3117,3034825,1,700
2000,1kmE3879N3113,5352251,1,700
2000,1kmE3879N3123,2996525,1,700
2000,1kmE3879N3123,4038485,1,700
2000,1kmE3880N3076,2889173,1,707
2000,1kmE3880N3076,3021850,1,707
2000,1kmE3880N3111,5352251,1,700
2000,1kmE3880N3112,2889173,1,700
2000,1kmE3880N3113,2891770,1,700
2000,1kmE3880N3123,2996525,1,700
2000,1kmE3880N3123,5352251,1,700
2000,1kmE3880N3124,2996525,1,700
2000,1kmE3880N3124,3033865,1,700
2000,1kmE3880N3124,5389029,1,700
2000,1kmE3880N3125,2996525,1,700
2000,1kmE3880N3125,3025617,1,700
2000,1kmE3881N3053,2889173,1,707
2000,1kmE3881N3091,3034825,1,700
2000,1kmE3881N3121,2889173,1,700
2000,1kmE3881N3122,2889173,1,700
2000,1kmE3881N3122,3025617,1,700
2000,1kmE3881N3122,5352251,1,700
2000,1kmE3881N3125,2996525,1,700
2000,1kmE3882N3090,3034825,1,700
2000,1kmE3882N3091,3034825,1,700
2000,1kmE3882N3092,2891770,1,700
2000,1kmE3882N3092,3021496,1,700
2000,1kmE3882N3092,5389029,1,700
2000,1kmE3882N3126,2889088,1,700
2000,1kmE3883N3049,5352251,1,707
2000,1kmE3883N3053,3021850,1,707
2000,1kmE3883N3053,5352251,1,707
2000,1kmE3883N3090,3034825,1,700
2000,1kmE3883N3091,3021496,1,700
2000,1kmE3883N3092,2891770,1,700
2000,1kmE3883N3122,5352251,1,700
2000,1kmE3883N3123,2889173,1,700
2000,1kmE3884N3081,3190653,1,707
2000,1kmE3884N3091,2889173,1,700
2000,1kmE3885N3090,2891770,1,700
2000,1kmE3886N3099,3021496,1,700
2000,1kmE3886N3116,3034825,1,700
2000,1kmE3886N3118,3190653,1,700
2000,1kmE3886N3119,3021850,1,700
2000,1kmE3887N3119,2891770,1,700
2000,1kmE3887N3119,5352251,1,700
2000,1kmE3888N3093,2889173,1,700
2000,1kmE3888N3093,3021496,1,700
2000,1kmE3888N3094,2891770,1,700
2000,1kmE3889N3126,2891770,1,700
2000,1kmE3890N3091,2889173,1,700
2000,1kmE3890N3091,3034825,1,700
2000,1kmE3890N3091,3039203,1,700
2000,1kmE3890N3091,5352251,1,700
2000,1kmE3890N3112,3034825,1,700
2000,1kmE3891N3091,3033865,1,700
2000,1kmE3891N3095,2889173,1,700
2000,1kmE3891N3095,5389029,1,700
2000,1kmE3891N3100,5352251,1,700
2000,1kmE3891N3101,2889173,1,700
2000,1kmE3891N3102,2889173,1,700
2000,1kmE3892N3095,2889173,1,700
2000,1kmE3892N3100,3034825,1,700
2000,1kmE3892N3102,3021850,1,700
2000,1kmE3892N3118,2867614,1,700
2000,1kmE3893N3053,2889173,1,707
2000,1kmE3893N3095,2891770,1,700
2000,1kmE3893N3095,5352251,1,700
2000,1kmE3893N3096,2891770,1,700
2000,1kmE3894N3090,5352251,1,700
2000,1kmE3895N3095,2891770,1,700
2000,1kmE3895N3112,5361785,1,25
2000,1kmE3895N3136,3021850,1,1000
2000,1kmE3896N3094,2889173,1,700
2000,1kmE3896N3103,2650107,1,700
2000,1kmE3896N3104,2867614,1,700
2000,1kmE3896N3104,2891770,1,700
2000,1kmE3896N3104,5352251,2,700
2000,1kmE3896N3105,2650107,1,700
2000,1kmE3896N3105,2891770,4,700
2000,1kmE3896N3106,2891770,2,700
2000,1kmE3896N3109,2889173,1,700
2000,1kmE3896N3136,3021850,1,1000
2000,1kmE3897N3094,5389017,1,700
2000,1kmE3897N3099,2891770,1,700
2000,1kmE3897N3104,2891770,2,700
2000,1kmE3897N3104,5389017,1,700
2000,1kmE3897N3105,5389017,1,700
2000,1kmE3897N3107,2889173,1,700
2000,1kmE3897N3107,5352251,1,700
2000,1kmE3897N3108,2889173,1,700
2000,1kmE3897N3109,3025617,1,700
2000,1kmE3897N3109,3033865,1,700
2000,1kmE3897N3109,5352251,2,700
2000,1kmE3897N3111,2889173,1,700
2000,1kmE3897N3136,3021850,1,1000
2000,1kmE3898N3093,5352251,1,700
2000,1kmE3898N3096,3034825,1,700
2000,1kmE3898N3097,2889173,1,700
2000,1kmE3898N3111,2891770,1,700
2000,1kmE3898N3112,3025617,1,700
2000,1kmE3898N3137,5352251,1,700
2000,1kmE3898N3138,3021850,1,700
2000,1kmE3899N3111,2889173,2,700
2000,1kmE3899N3111,3021850,2,700
2000,1kmE3899N3124,3021850,1,700
2000,1kmE3900N3122,3021850,1,700
2000,1kmE3900N3123,2891770,1,700
2000,1kmE3900N3124,3025617,1,700
2000,1kmE3901N3035,2889173,1,707
2000,1kmE3901N3097,2889173,1,700
2000,1kmE3901N3097,5389029,1,700
2000,1kmE3901N3103,2891770,1,700
2000,1kmE3902N3084,3021850,1,700
2000,1kmE3902N3142,5389029,1,700
2000,1kmE3903N3084,2889173,1,700
2000,1kmE3903N3084,3189866,1,700
2000,1kmE3903N3084,5352251,2,700
2000,1kmE3903N3097,2891770,1,700
2000,1kmE3903N3097,5352251,2,700
2000,1kmE3903N3098,2891770,1,700
2000,1kmE3903N3098,5389017,1,700
2000,1kmE3903N3142,3021850,1,700
2000,1kmE3904N3085,3189866,1,700
2000,1kmE3904N3141,2889173,1,700
2000,1kmE3905N3119,2650107,1,2000
2000,1kmE3905N3139,3021850,1,700
2000,1kmE3905N3141,3021850,1,700
2000,1kmE3906N3107,2889173,1,700
2000,1kmE3906N3107,3003979,1,700
2000,1kmE3906N3118,7978544,1,700
2000,1kmE3906N3119,2889173,1,700
2000,1kmE3906N3127,2891770,1,700
2000,1kmE3907N3096,2889173,1,700
2000,1kmE3907N3107,3034825,1,700
2000,1kmE3907N3118,2650107,1,700
2000,1kmE3908N3123,5352251,1,700
2000,1kmE3908N3124,3021850,1,700
2000,1kmE3908N3124,3027159,1,700
2000,1kmE3909N3121,2891770,1,700
2000,1kmE3910N3106,2889173,1,700
2000,1kmE3910N3107,3021850,1,700
2000,1kmE3910N3122,2889173,1,700
2000,1kmE3910N3122,5389029,1,700
2000,1kmE3910N3123,2891770,1,1000
2000,1kmE3911N3122,2891770,1,1000
2000,1kmE3912N3131,3021850,1,700
2000,1kmE3913N3141,5389017,1,700
2000,1kmE3913N3142,3034825,1,700
2000,1kmE3914N3113,2891770,1,700
2000,1kmE3914N3119,2889173,1,700
2000,1kmE3914N3119,2891770,1,700
2000,1kmE3914N3121,2889173,1,700
2000,1kmE3914N3121,2891770,1,10000
2000,1kmE3915N3089,3189866,1,700
2000,1kmE3915N3090,3021850,1,700
2000,1kmE3915N3090,3189866,1,700
2000,1kmE3915N3112,5352251,1,700
2000,1kmE3915N3121,3021850,1,700
2000,1kmE3915N3122,2891770,1,700
2000,1kmE3915N3127,7978544,1,700
2000,1kmE3915N3128,2889173,1,700
2000,1kmE3916N3042,5389017,2,707
2000,1kmE3916N3089,5352251,1,700
2000,1kmE3916N3090,5352251,1,700
2000,1kmE3916N3101,3034825,1,700
2000,1kmE3916N3120,5352251,1,700
2000,1kmE3916N3127,2891770,1,700
2000,1kmE3916N3127,7978544,1,700
2000,1kmE3916N3128,7978544,1,999
2000,1kmE3917N3096,2889173,1,700
2000,1kmE3917N3096,5352251,1,700
2000,1kmE3917N3119,3021850,1,700
2000,1kmE3917N3127,3034825,1,700
2000,1kmE3917N3127,7978544,1,700
2000,1kmE3917N3132,2889173,1,700
2000,1kmE3918N3114,2891770,1,700
2000,1kmE3918N3124,3189866,1,700
2000,1kmE3919N3100,7889822,1,700
2000,1kmE3919N3101,3021850,1,700
2000,1kmE3919N3119,2891770,1,10000
2000,1kmE3920N3094,3190653,1,700
2000,1kmE3920N3095,2889173,1,700
2000,1kmE3920N3120,2891770,2,700
2000,1kmE3920N3120,3021850,1,700
2000,1kmE3920N3121,3021850,1,700
2000,1kmE3920N3122,3033865,1,700
2000,1kmE3920N3122,5389017,1,700
2000,1kmE3921N3035,2889173,1,707
2000,1kmE3921N3094,3034825,1,700
2000,1kmE3921N3094,5352251,1,700
2000,1kmE3921N3094,5389029,1,700
2000,1kmE3921N3097,2889173,1,700
2000,1kmE3921N3100,3021850,1,700
2000,1kmE3921N3104,2889173,1,700
2000,1kmE3921N3104,3034825,1,700
2000,1kmE3921N3104,5352251,1,700
2000,1kmE3921N3120,5389017,2,700
2000,1kmE3921N3122,3189866,1,700
2000,1kmE3922N3093,7889822,1,700
2000,1kmE3922N3095,5352251,1,700
2000,1kmE3922N3097,5352251,1,700
2000,1kmE3922N3099,3039203,1,700
2000,1kmE3922N3125,2650107,1,700
2000,1kmE3922N3128,2891770,1,700
2000,1kmE3922N3133,2889173,1,700
2000,1kmE3923N3081,3021850,1,49
2000,1kmE3923N3097,2889173,1,700
2000,1kmE3923N3097,5352251,1,700
2000,1kmE3923N3098,5352251,1,700
2000,1kmE3923N3101,2889173,1,700
2000,1kmE3923N3122,2889173,1,700
2000,1kmE3923N3131,2891770,1,700
2000,1kmE3923N3131,3021850,1,700
2000,1kmE3924N3091,5389017,1,700
2000,1kmE3924N3097,2889173,1,700
2000,1kmE3924N3098,3034825,1,700
2000,1kmE3924N3104,2889173,1,700
2000,1kmE3924N3127,5352251,1,700
2000,1kmE3924N3128,2889173,1,700
2000,1kmE3924N3128,3189866,1,700
2000,1kmE3924N3140,3119175,1,700
2000,1kmE3925N3091,2889173,1,700
2000,1kmE3925N3113,3021850,1,700
2000,1kmE3925N3135,2650107,1,700
2000,1kmE3926N3090,5352251,1,700
2000,1kmE3926N3105,3021850,1,700
2000,1kmE3926N3105,5352251,1,700
2000,1kmE3926N3132,7978544,1,700
2000,1kmE3926N3138,5352251,1,700
2000,1kmE3927N3090,2889173,1,700
2000,1kmE3927N3090,3021850,1,700
2000,1kmE3927N3090,3034825,1,700
2000,1kmE3927N3098,2889173,1,700
2000,1kmE3927N3100,3021850,1,700
2000,1kmE3927N3103,2891770,1,700
2000,1kmE3927N3103,5352251,1,700
2000,1kmE3927N3104,2889173,1,700
2000,1kmE3927N3136,2889173,1,700
2000,1kmE3927N3136,3021850,1,700
2000,1kmE3927N3136,5352251,1,700
2000,1kmE3927N3137,2889173,1,700
2000,1kmE3927N3137,3033865,1,700
2000,1kmE3927N3137,5389017,1,700
2000,1kmE3927N3138,3021850,1,700
2000,1kmE3928N3090,3021850,2,700
2000,1kmE3928N3091,3021850,1,700
2000,1kmE3928N3091,5352251,1,700
2000,1kmE3928N3100,2889173,1,700
2000,1kmE3928N3115,5352251,1,700
2000,1kmE3928N3128,3021850,1,700
2000,1kmE3928N3128,3033865,1,700
2000,1kmE3928N3137,2889173,1,700
2000,1kmE3928N3138,3021850,1,700
2000,1kmE3928N3138,3033865,1,700
2000,1kmE3928N3138,5352251,1,700
2000,1kmE3928N3139,3033865,1,700
2000,1kmE3928N3139,5352251,1,700
2000,1kmE3928N3139,5389017,1,700
2000,1kmE3929N3080,2889173,1,707
2000,1kmE3929N3080,7889822,1,707
2000,1kmE3929N3081,5352251,1,707
2000,1kmE3929N3082,2891770,1,707
2000,1kmE3929N3082,5352251,1,707
2000,1kmE3929N3088,2891770,1,700
2000,1kmE3929N3088,3021850,1,700
2000,1kmE3929N3089,3034825,1,700
2000,1kmE3929N3093,2889173,1,700
2000,1kmE3929N3094,3021850,1,700
2000,1kmE3929N3103,2889173,1,700
2000,1kmE3929N3103,3034825,1,700
2000,1kmE3929N3103,3190653,1,700
2000,1kmE3929N3103,5352251,1,700
2000,1kmE3929N3111,3021850,1,700
2000,1kmE3929N3128,5389017,1,700
2000,1kmE3929N3140,2889173,1,700
2000,1kmE3930N3079,3021850,1,707
2000,1kmE3930N3080,5352251,1,707
2000,1kmE3930N3081,2891770,1,707
2000,1kmE3930N3081,3021850,2,707
2000,1kmE3930N3081,5389029,1,707
2000,1kmE3930N3081,7889822,1,707
2000,1kmE3930N3082,2889173,1,707
2000,1kmE3930N3082,3021850,1,707
2000,1kmE3930N3083,5389017,1,707
2000,1kmE3930N3097,5352251,1,700
2000,1kmE3930N3111,5352251,1,700
2000,1kmE3930N3116,2889173,1,700
2000,1kmE3930N3116,2891770,1,700
2000,1kmE3930N3116,3021850,1,700
2000,1kmE3930N3117,5352251,1,700
2000,1kmE3931N3081,5352251,1,707
2000,1kmE3931N3082,5352251,1,707
2000,1kmE3931N3108,2889173,1,700
2000,1kmE3931N3113,3021850,1,700
2000,1kmE3931N3113,5352251,2,700
2000,1kmE3931N3114,3021850,1,700
2000,1kmE3931N3116,3003979,1,700
2000,1kmE3931N3118,5352251,1,700
2000,1kmE3931N3118,5389017,1,700
2000,1kmE3932N3081,2889173,1,707
2000,1kmE3932N3081,3021850,1,707
2000,1kmE3932N3081,5352251,1,707
2000,1kmE3932N3082,3021850,1,707
2000,1kmE3932N3082,5389017,2,707
2000,1kmE3932N3083,2889173,1,707
2000,1kmE3932N3083,3021850,1,707
2000,1kmE3932N3083,3039203,1,707
2000,1kmE3932N3083,5352251,2,707
2000,1kmE3932N3095,5352251,1,700
2000,1kmE3932N3109,3034825,1,700
2000,1kmE3932N3109,3039203,1,700
2000,1kmE3932N3109,5352251,1,700
2000,1kmE3932N3110,2891770,1,700
2000,1kmE3932N3110,3021850,1,700
2000,1kmE3932N3110,3034825,1,700
2000,1kmE3932N3115,2891770,2,700
2000,1kmE3932N3115,3039203,1,700
2000,1kmE3932N3115,5352251,2,700
2000,1kmE3932N3115,5389017,1,700
2000,1kmE3932N3116,2889173,1,700
2000,1kmE3932N3116,3189866,1,700
2000,1kmE3932N3117,2891770,1,700
2000,1kmE3932N3117,3021850,1,700
2000,1kmE3932N3118,2889173,1,700
2000,1kmE3932N3118,2891770,1,700
2000,1kmE3932N3118,3033865,1,700
2000,1kmE3932N3118,3189866,1,700
2000,1kmE3932N3119,3021850,1,700
2000,1kmE3932N3127,3033865,1,700
2000,1kmE3933N3081,2889173,1,707
2000,1kmE3933N3081,2891770,1,707
2000,1kmE3933N3081,3021850,1,707
2000,1kmE3933N3081,5389017,1,707
2000,1kmE3933N3083,2889173,1,707
2000,1kmE3933N3083,2891770,1,707
2000,1kmE3933N3083,3021850,1,707
2000,1kmE3933N3083,5389017,1,707
2000,1kmE3933N3100,3021850,1,700
2000,1kmE3933N3100,5389017,1,700
2000,1kmE3933N3115,2889173,2,700
2000,1kmE3933N3116,3021850,1,700
2000,1kmE3934N3080,2865448,1,707
2000,1kmE3934N3080,2889173,1,707
2000,1kmE3934N3080,7889822,1,707
2000,1kmE3934N3081,3021850,1,707
2000,1kmE3934N3081,5352251,1,707
2000,1kmE3934N3107,3021850,1,700
2000,1kmE3934N3118,3190653,1,700
2000,1kmE3934N3156,2889173,1,700
2000,1kmE3934N3156,3021850,1,700
2000,1kmE3934N3158,2889173,1,700
2000,1kmE3934N3158,3021850,2,700
2000,1kmE3934N3158,5389029,1,700
2000,1kmE3935N3117,5352251,1,700
2000,1kmE3935N3156,2889088,1,700
2000,1kmE3935N3156,3021850,1,700
2000,1kmE3935N3156,5389029,1,700
2000,1kmE3936N3085,5352251,2,700
