usageKey	scientificName	canonicalName	rank	status	confidence	matchType	kingdom	phylum	order	family	genus	species	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	synonym	class	acceptedUsageKey	verbatim_name	verbatim_index,GBIF_scientific_name
"2867631	""Lemna turionifera Landolt""	""Lemna turionifera""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Alismatales""	""Araceae""	""Lemna""	""Lemna turionifera""	6	7707728	196	551	6979	2867567	2867631	FALSE	""Liliopsida""	NA	""Lemna turionifera""	31",incertae sedis
"5329643	""Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine""	""Limnobium laevigatum""	""SPECIES""	""SYNONYM""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Alismatales""	""Hydrocharitaceae""	""Hydrocharis""	""Hydrocharis laevigata""	6	7707728	196	551	3721	2865596	11055820	TRUE	""Liliopsida""	11055820	""Limnobium laevigatum""	32",incertae sedis
"5421039	""Ludwigia grandiflora (Michx.) Greuter & Burdet""	""Ludwigia grandiflora""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Myrtales""	""Onagraceae""	""Ludwigia""	""Ludwigia grandiflora""	6	7707728	220	690	2430	3189286	5421039	FALSE	""Magnoliopsida""	NA	""Ludwigia grandiflora""	33",incertae sedis
"5420991	""Ludwigia peploides (Kunth) P.H.Raven""	""Ludwigia peploides""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Myrtales""	""Onagraceae""	""Ludwigia""	""Ludwigia peploides""	6	7707728	220	690	2430	3189286	5420991	FALSE	""Magnoliopsida""	NA	""Ludwigia peploides""	34",incertae sedis
"3033865	""Mahonia aquifolium (Pursh) Nutt.""	""Mahonia aquifolium""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Ranunculales""	""Berberidaceae""	""Mahonia""	""Mahonia aquifolium""	6	7707728	220	399	6673	3033842	3033865	FALSE	""Magnoliopsida""	NA	""Mahonia aquifolium""	35",incertae sedis
"5361785	""Myriophyllum aquaticum (Vell.) Verdc.""	""Myriophyllum aquaticum""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Saxifragales""	""Haloragaceae""	""Myriophyllum""	""Myriophyllum aquaticum""	6	7707728	220	7219248	6694	2984253	5361785	FALSE	""Magnoliopsida""	NA	""Myriophyllum aquaticum""	36",incertae sedis
"5361762	""Myriophyllum heterophyllum Michx.""	""Myriophyllum heterophyllum""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Saxifragales""	""Haloragaceae""	""Myriophyllum""	""Myriophyllum heterophyllum""	6	7707728	220	7219248	6694	2984253	5361762	FALSE	""Magnoliopsida""	NA	""Myriophyllum heterophyllum""	37",incertae sedis
"11742641	""Myriophyllum rubricaule Valk. & Duist.""	""Myriophyllum rubricaule""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Saxifragales""	""Haloragaceae""	""Myriophyllum""	""Myriophyllum rubricaule""	6	7707728	220	7219248	6694	2984253	11742641	FALSE	""Magnoliopsida""	NA	""Myriophyllum rubricaule""	38",incertae sedis
"3039203	""Parthenocissus inserta (A.Kern.) Fritsch""	""Parthenocissus inserta""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Vitales""	""Vitaceae""	""Parthenocissus""	""Parthenocissus inserta""	6	7707728	220	7222050	6672	3039188	3039203	FALSE	""Magnoliopsida""	NA	""Parthenocissus inserta""	39",incertae sedis
"3039194	""Parthenocissus quinquefolia (L.) Planch.""	""Parthenocissus quinquefolia""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Vitales""	""Vitaceae""	""Parthenocissus""	""Parthenocissus quinquefolia""	6	7707728	220	7222050	6672	3039188	3039194	FALSE	""Magnoliopsida""	NA	""Parthenocissus quinquefolia""	40",incertae sedis
